Name,Address,City,Phone,Website,Email,Source,Created
Яндекс,"Москва, Льва Толстого 16",Москва,,yandex.ru,,manual,2026-03-27 21:13:38
Сбербанк,"Москва, Вавилова 19",Москва,,sberbank.ru,,manual,2026-03-27 21:13:38
МТС,"Москва, Марксистская 4",Москва,,mts.ru,,manual,2026-03-27 21:13:38
Билайн,"Москва, Новый Арбат 2",Москва,,beeline.ru,,manual,2026-03-27 21:13:38
Тинькофф,"Москва, 1-й Волоколамский проезд 10",Москва,,tinkoff.ru,,manual,2026-03-27 21:13:38
Mail.ru,"Москва, Ленинградский проспект 39",Москва,,mail.ru,,manual,2026-03-27 21:13:38
Газпром,"Москва, Наметкина 16",Москва,,gazprom.ru,,manual,2026-03-27 21:13:38
Лукойл,"Москва, Новый Арбат 11",Москва,,lukoil.ru,,manual,2026-03-27 21:13:38
"Автосервис ""Пример 1""","ул. Примерная, д. 23",Новосибирск,+7 (960) 327-68-30,https://example1.ru,,generated,2026-03-27 21:13:23
"Магазин ""Пример 2""","ул. Примерная, д. 99",Казань,+7 (997) 264-67-75,https://example2.ru,,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 3""","ул. Примерная, д. 28",Новосибирск,+7 (990) 592-30-74,,,generated,2026-03-27 21:13:23
"Магазин ""Пример 4""","ул. Примерная, д. 4",Екатеринбург,+7 (999) 386-52-24,https://example4.ru,info@example4.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 5""","ул. Примерная, д. 24",Москва,+7 (994) 789-31-77,,info@example5.ru,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 6""","ул. Примерная, д. 88",Казань,+7 (970) 130-67-37,https://example6.ru,,generated,2026-03-27 21:13:23
"Магазин ""Пример 7""","ул. Примерная, д. 5",Казань,+7 (945) 200-95-61,https://example7.ru,,generated,2026-03-27 21:13:23
"Магазин ""Пример 8""","ул. Примерная, д. 1",Санкт-Петербург,+7 (971) 496-25-70,https://example8.ru,,generated,2026-03-27 21:13:23
"Кафе ""Пример 9""","ул. Примерная, д. 5",Санкт-Петербург,+7 (942) 216-88-51,https://example9.ru,info@example9.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 10""","ул. Примерная, д. 62",Казань,+7 (968) 569-48-58,https://example10.ru,,generated,2026-03-27 21:13:23
"Автосервис ""Пример 11""","ул. Примерная, д. 74",Санкт-Петербург,+7 (917) 758-85-98,https://example11.ru,,generated,2026-03-27 21:13:23
"Ресторан ""Пример 12""","ул. Примерная, д. 78",Новосибирск,+7 (936) 980-90-37,,info@example12.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 13""","ул. Примерная, д. 37",Санкт-Петербург,+7 (918) 718-49-85,,,generated,2026-03-27 21:13:23
"Кафе ""Пример 14""","ул. Примерная, д. 67",Екатеринбург,+7 (974) 236-34-29,https://example14.ru,info@example14.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 15""","ул. Примерная, д. 12",Казань,+7 (932) 663-52-31,,,generated,2026-03-27 21:13:23
"Автосервис ""Пример 16""","ул. Примерная, д. 85",Москва,+7 (952) 103-40-21,https://example16.ru,,generated,2026-03-27 21:13:23
"Магазин ""Пример 17""","ул. Примерная, д. 58",Екатеринбург,+7 (966) 845-10-39,https://example17.ru,info@example17.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 18""","ул. Примерная, д. 21",Санкт-Петербург,+7 (936) 887-49-38,https://example18.ru,info@example18.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 19""","ул. Примерная, д. 27",Новосибирск,+7 (917) 454-26-28,https://example19.ru,,generated,2026-03-27 21:13:23
"Магазин ""Пример 20""","ул. Примерная, д. 54",Санкт-Петербург,+7 (989) 471-28-22,,info@example20.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 21""","ул. Примерная, д. 58",Казань,+7 (932) 657-45-70,https://example21.ru,info@example21.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 22""","ул. Примерная, д. 16",Новосибирск,+7 (938) 757-57-61,https://example22.ru,,generated,2026-03-27 21:13:23
"Кафе ""Пример 23""","ул. Примерная, д. 22",Новосибирск,+7 (920) 938-76-18,https://example23.ru,,generated,2026-03-27 21:13:23
"Автосервис ""Пример 24""","ул. Примерная, д. 34",Казань,+7 (981) 842-93-19,https://example24.ru,info@example24.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 25""","ул. Примерная, д. 39",Новосибирск,+7 (961) 583-36-95,,info@example25.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 26""","ул. Примерная, д. 90",Казань,+7 (958) 196-24-92,https://example26.ru,info@example26.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 27""","ул. Примерная, д. 98",Санкт-Петербург,+7 (959) 330-27-83,,info@example27.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 28""","ул. Примерная, д. 84",Москва,+7 (946) 891-58-21,https://example28.ru,,generated,2026-03-27 21:13:23
"Кафе ""Пример 29""","ул. Примерная, д. 5",Санкт-Петербург,+7 (990) 202-84-78,https://example29.ru,info@example29.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 30""","ул. Примерная, д. 27",Екатеринбург,+7 (952) 759-40-59,https://example30.ru,,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 31""","ул. Примерная, д. 43",Казань,+7 (922) 204-33-14,https://example31.ru,,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 32""","ул. Примерная, д. 65",Санкт-Петербург,+7 (988) 304-55-69,https://example32.ru,,generated,2026-03-27 21:13:23
"Автосервис ""Пример 33""","ул. Примерная, д. 36",Казань,+7 (916) 226-51-81,https://example33.ru,info@example33.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 34""","ул. Примерная, д. 96",Екатеринбург,+7 (995) 553-63-44,https://example34.ru,info@example34.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 35""","ул. Примерная, д. 25",Новосибирск,+7 (928) 875-50-48,,,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 36""","ул. Примерная, д. 89",Новосибирск,+7 (980) 157-28-65,,,generated,2026-03-27 21:13:23
"Магазин ""Пример 37""","ул. Примерная, д. 56",Казань,+7 (992) 560-97-10,,info@example37.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 38""","ул. Примерная, д. 71",Москва,+7 (930) 673-69-77,https://example38.ru,,generated,2026-03-27 21:13:23
"Автосервис ""Пример 39""","ул. Примерная, д. 97",Казань,+7 (981) 448-74-41,https://example39.ru,info@example39.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 40""","ул. Примерная, д. 81",Санкт-Петербург,+7 (986) 191-97-19,https://example40.ru,,generated,2026-03-27 21:13:23
"Ресторан ""Пример 41""","ул. Примерная, д. 75",Москва,+7 (924) 969-17-84,https://example41.ru,,generated,2026-03-27 21:13:23
"Магазин ""Пример 42""","ул. Примерная, д. 33",Екатеринбург,+7 (979) 607-18-96,,,generated,2026-03-27 21:13:23
"Кафе ""Пример 43""","ул. Примерная, д. 27",Екатеринбург,+7 (927) 191-84-38,https://example43.ru,info@example43.ru,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 44""","ул. Примерная, д. 13",Москва,+7 (980) 826-79-81,https://example44.ru,info@example44.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 45""","ул. Примерная, д. 72",Москва,+7 (960) 803-79-64,,,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 46""","ул. Примерная, д. 69",Казань,+7 (983) 735-25-23,,info@example46.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 47""","ул. Примерная, д. 66",Екатеринбург,+7 (958) 954-25-74,,,generated,2026-03-27 21:13:23
"Автосервис ""Пример 48""","ул. Примерная, д. 14",Новосибирск,+7 (931) 308-25-15,https://example48.ru,info@example48.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 49""","ул. Примерная, д. 95",Екатеринбург,+7 (913) 982-84-58,https://example49.ru,info@example49.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 50""","ул. Примерная, д. 66",Санкт-Петербург,+7 (924) 271-18-60,,info@example50.ru,generated,2026-03-27 21:13:23
